MOVIE_ID,MOVIE_NAME,TITULO_LIMPIO,FORMATO,IDIOMA,CATEGORIA,DESCRIPCION,FAMILIA,NOMBRE_ORIGINAL,DESCRIPCION2,ACTOR_PRINCIPAL,DIRECTOR,DURACION,CATEGORIA_CINEPOLIS,NOMBRE_ORIGINAL_CLEAN,TITULO_LIMPIO_CLEAN,NOMBRE_UNICO
2019,Lilo y Stitch SJ Esp,LILO Y STITCH SJ ESP,2D,ESP,,,LILO Y STITCH SJ,Lilo y Stitch SJ Esp,,,,108 minutos,,LILO Y STITCH SJ,LILO Y STITCH SJ,LILO Y STITCH SJ
1998,Better Man: La Historia De Robbie Williams Sub,BETTER MAN: LA HISTORIA DE ROBBIE WILLIAMS SUB,2D,SUB,,,BETTER MAN,Better Man: La Historia De Robbie Williams Sub,,,,135 minutos,,BETTER MAN: LA HISTORIA DE ROBBIE WILLIAMS,BETTER MAN: LA HISTORIA DE ROBBIE WILLIAMS,BETTER MAN LA HISTORIA DE ROBBIE WILLIAMS
52,Bailarina Sub,BAILARINA SUB,2D,SUB,,,BAILARINA,Bailarina Sub,,,,125 minutos,,BAILARINA,BAILARINA,BAILARINA
2020,Los 4 Fantásticos: Primeros Pasos Esp,LOS 4 FANTÁSTICOS: PRIMEROS PASOS ESP,2D,ESP,,,LOS 4 FANTÁSTICOS,Los 4 Fantásticos: Primeros Pasos Esp,,,,114 minutos,,LOS 4 FANTÁSTICOS: PRIMEROS PASOS,LOS 4 FANTÁSTICOS: PRIMEROS PASOS,4 FANTÁSTICOS PRIMEROS PASOS
2003,Una Película De Minecraft Esp,UNA PELÍCULA DE MINECRAFT ESP,2D,ESP,,,UNA PELÍCULA DE MINECRAFT,Una Película De Minecraft Esp,,,,101 minutos,,UNA PELÍCULA DE MINECRAFT,UNA PELÍCULA DE MINECRAFT,PELÍCULA DE MINECRAFT
2020,Los 4 Fantásticos: Primeros Pasos 4DX/3D Esp,LOS 4 FANTÁSTICOS: PRIMEROS PASOS 4DX/3D ESP,2D,ESP,,,LOS 4 FANTÁSTICOS,Los 4 Fantásticos: Primeros Pasos 4DX/3D Esp,,,,114 minutos,,LOS 4 FANTÁSTICOS: PRIMEROS PASOS,LOS 4 FANTÁSTICOS: PRIMEROS PASOS,4 FANTÁSTICOS PRIMEROS PASOS
2021,David Gilmour: concierto en el Circo Má Sub,DAVID GILMOUR: CONCIERTO EN EL CIRCO MÁ SUB,2D,SUB,,,DAVID GILMOUR,David Gilmour: concierto en el Circo Má Sub,,,,150 minutos,,DAVID GILMOUR: CONCIERTO EN EL CIRCO MÁ,DAVID GILMOUR: CONCIERTO EN EL CIRCO MÁ,DAVID GILMOUR CONCIERTO EN EL CIRCO MÁ
19,F1 4DX/2D Esp,F1 4DX/2D ESP,2D,ESP,,,F1,F1 4DX/2D Esp,,,,155 minutos,,F1,F1,F1
2000,Demon Slayer: Kimetsu no Yaiba Esp,DEMON SLAYER: KIMETSU NO YAIBA ESP,2D,ESP,,,DEMON SLAYER,Demon Slayer: Kimetsu no Yaiba Esp,,,,155 minutos,,DEMON SLAYER: KIMETSU NO YAIBA,DEMON SLAYER: KIMETSU NO YAIBA,DEMON SLAYER KIMETSU NO YAIBA
2008,El Conjuro 4: Últimos Ritos Esp,EL CONJURO 4: ÚLTIMOS RITOS ESP,2D,ESP,,,EL CONJURO 4,El Conjuro 4: Últimos Ritos Esp,,,,136 minutos,,EL CONJURO 4: ÚLTIMOS RITOS,EL CONJURO 4: ÚLTIMOS RITOS,CONJURO 4 ÚLTIMOS RITOS
2010,La Hora De La Desaparición Esp,LA HORA DE LA DESAPARICIÓN ESP,2D,ESP,,,LA HORA DE LA DESAPARICIÓN,La Hora De La Desaparición Esp,,,,128 minutos,,LA HORA DE LA DESAPARICIÓN,LA HORA DE LA DESAPARICIÓN,HORA DE LA DESAPARICIÓN
2020,Los 4 Fantásticos: Primeros Pasos Esp,LOS 4 FANTÁSTICOS: PRIMEROS PASOS ESP,2D,ESP,,,LOS 4 FANTÁSTICOS,Los 4 Fantásticos: Primeros Pasos Esp,,,,114 minutos,,LOS 4 FANTÁSTICOS: PRIMEROS PASOS,LOS 4 FANTÁSTICOS: PRIMEROS PASOS,4 FANTÁSTICOS PRIMEROS PASOS
2003,Una Película De Minecraft Esp,UNA PELÍCULA DE MINECRAFT ESP,2D,ESP,,,UNA PELÍCULA DE MINECRAFT,Una Película De Minecraft Esp,,,,101 minutos,,UNA PELÍCULA DE MINECRAFT,UNA PELÍCULA DE MINECRAFT,PELÍCULA DE MINECRAFT
